Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1612593,CUSHION,0.7,SI1,F,EX,EX,VG,N,5.19-4.79×3.25,"1,829.68",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-35/
200775-59,CUSHION,1.2,SI2,FANCY,EX,EX,VG,N,6.06-6.04×3.70,"1,830.75",https://capitalwholesalediamonds.com/product/1-2-ct-cushion-19/
1624933,CUSHION,0.8,VS2,J,VG,EX,GD,F,5.44-4.98×3.49,"1,832.93",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-137/
1624956,CUSHION,0.7,SI2,E,EX,EX,VG,N,5.72-4.71×3.12,"1,834.47",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-27/
1606846,CUSHION,0.6,VS2,F,EX,EX,VG,N,5.04-4.60×3.12,"1,835.68",https://capitalwholesalediamonds.com/product/0-6-ct-cushion-6/
1639555,CUSHION,0.7,SI1,F,EX,EX,VG,F,5.17-4.85×3.28,"1,844.50",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-33/
1799599,CUSHION,0.5,VS1,F,EX,EX,EX,N,4.47-4.42×2.98,"1,846.33",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-116/
1608421,CUSHION,0.7,SI2,E,VG,EX,EX,N,4.94-4.91×3.39,"1,850.44",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-23/
1638132,CUSHION,0.7,SI2,D,EX,VG,VG,N,5.30-4.93×3.24,"1,853.94",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-81/
1636074,CUSHION,0.75,SI1,J,EX,EX,VG,N,5.31-4.99×3.39,"1,856.62",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-24/
1574489,CUSHION,0.77,VVS2,FANCY,EX,EX,VG,N,5.06-5.05×3.40,"1,856.86",https://capitalwholesalediamonds.com/product/0-77-ct-cushion/
1599896,CUSHION,0.7,SI2,D,VG,EX,VG,N,5.22-4.81×3.35,"1,865.94",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-77/
1574488,CUSHION,0.84,VS1,FANCY,EX,VG,VG,N,5.23-5.15×3.41,"1,866.42",https://capitalwholesalediamonds.com/product/0-84-ct-cushion/
1664758,CUSHION,0.75,SI2,FANCY,EX,VG,VG,M,5.14-5.13×3.32,"1,872.07",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-5/
1636049,CUSHION,0.79,VS1,K,EX,EX,EX,F,5.36-5.01×3.40,"1,873.11",https://capitalwholesalediamonds.com/product/0-79-ct-cushion/
201143-199,CUSHION,1.1,I1,FANCY,EX,EX,EX,N,5.94-5.72×3.80,"1,875.97",https://capitalwholesalediamonds.com/product/1-1-ct-cushion/
1636071,CUSHION,0.72,SI1,H,GD,EX,VG,N,5.15-4.67×3.36,"1,878.32",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-21/
1608405,CUSHION,0.8,SI1,J,EX,EX,VG,N,5.73-4.92×3.25,"1,878.63",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-145/
1645999,CUSHION,0.71,SI1,I,VG,EX,GD,N,4.96-4.92×3.44,"1,880.29",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-16/
1668186,CUSHION,0.53,VS1,D,EX,EX,EX,F,5.03-4.30×2.92,"1,882.55",https://capitalwholesalediamonds.com/product/0-53-ct-cushion-19/
1642238,CUSHION,0.81,VS2,K,EX,EX,EX,N,5.48-5.05×3.42,"1,887.86",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-50/
1670930,CUSHION,0.7,VVS2,FANCY,VG,EX,VG,M,5.26-4.73×3.30,"1,888.93",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-3/
1624961,CUSHION,0.7,SI2,H,EX,EX,VG,N,5.42-4.66×3.17,"1,892.56",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-51/
1636003,CUSHION,0.91,VS1,L,EX,EX,VG,N,6.03-5.19×3.49,"1,892.72",https://capitalwholesalediamonds.com/product/0-91-ct-cushion-19/
1636043,CUSHION,0.8,SI1,J,EX,EX,VG,N,5.48-4.99×3.38,"1,893.72",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-141/
1585633,CUSHION,0.8,VS2,J,EX,EX,GD,N,5.15-5.15×3.50,"1,893.79",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-135/
1629704,CUSHION,0.9,SI2,K,EX,EX,VG,N,5.48-5.35×3.63,"1,897.32",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-101/
1601275,CUSHION,0.7,VVS2,FANCY,EX,EX,VG,N,5.53-4.56×3.06,"1,898.61",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-5/
1606808,CUSHION,0.75,SI1,G,EX,EX,EX,VS,5.21-4.91×3.34,"1,901.90",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-15/
1594981,CUSHION,0.8,VS2,J,EX,EX,VG,M,5.20-5.19×3.48,"1,903.53",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-138/
1579152,CUSHION,0.8,VS1,J,EX,EX,VG,M,5.18-5.12×3.48,"1,917.39",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-126/
1656364,CUSHION,0.8,VS2,K,EX,EX,EX,N,5.19-5.08×3.45,"1,922.68",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-154/
1621151,CUSHION,0.72,SI1,F,EX,EX,VG,N,5.41-4.92×3.21,"1,927.09",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-16/
1642256,CUSHION,0.53,VS1,E,EX,EX,EX,N,4.64-4.43×3.01,"1,927.64",https://capitalwholesalediamonds.com/product/0-53-ct-cushion-7/
1646006,CUSHION,0.7,SI2,G,VG,EX,VG,N,5.17-4.75×3.32,"1,928.94",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-43/
200715-407,CUSHION,1.51,SI2,Q,EX,EX,EX,N,6.71-6.33×4.07,"1,929.05",https://capitalwholesalediamonds.com/product/1-51-ct-cushion-5/
1670929,CUSHION,0.72,VVS1,FANCY,EX,EX,GD,M,5.05-4.84×3.27,"1,933.02",https://capitalwholesalediamonds.com/product/0-72-ct-cushion/
200787-552,CUSHION,1.2,SI2,M,EX,EX,VG,N,6.30-5.72×3.87,"1,938.54",https://capitalwholesalediamonds.com/product/1-2-ct-cushion-92/
1670786,CUSHION,0.7,SI2,I,EX,EX,VG,N,5.16-4.85×3.29,"1,938.61",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-58/
1601110,CUSHION,0.72,VS2,I,EX,EX,EX,N,5.01-4.95×3.35,"1,946.99",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-24/
1643522,CUSHION,0.73,SI1,H,EX,EX,VG,N,5.94-4.77×3.15,"1,947.55",https://capitalwholesalediamonds.com/product/0-73-ct-cushion-7/
200624-198,CUSHION,1.01,SI2,L,EX,EX,EX,N,5.68-5.58×3.75,"1,947.97",https://capitalwholesalediamonds.com/product/1-01-ct-cushion-100/
1638134,CUSHION,0.7,SI2,F,VG,EX,VG,N,4.87-4.84×3.38,"1,948.38",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-38/
1632750,CUSHION,0.63,SI1,D,EX,EX,EX,N,5.14-4.69×3.11,"1,950.29",https://capitalwholesalediamonds.com/product/0-63-ct-cushion-4/
1634793,CUSHION,0.8,VS2,FANCY,EX,EX,VG,F,5.26-5.11×3.39,"1,953.08",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-2/
1636077,CUSHION,0.7,SI2,E,EX,EX,VG,N,5.31-4.88×3.29,"1,953.20",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-24/
1626252,CUSHION,0.51,VVS1,D,EX,EX,VG,N,4.82-4.39×2.93,"1,964.16",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-43/
1605422,CUSHION,0.82,VS2,FANCY,EX,EX,VG,M,5.68-5.02×3.36,"1,970.58",https://capitalwholesalediamonds.com/product/0-82-ct-cushion/
1656366,CUSHION,0.7,VS1,I,EX,EX,VG,F,5.25-4.82×3.23,"1,975.12",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-56/
1640844,CUSHION,0.8,VS2,J,EX,EX,VG,M,5.48-4.99×3.38,"1,978.08",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-131/
1594985,CUSHION,0.8,VS1,J,EX,EX,EX,N,5.48-5.12×3.36,"1,978.15",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-123/
1643498,CUSHION,0.8,VVS1,L,EX,EX,EX,N,5.24-5.19×3.51,"1,983.61",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-158/
1597323,CUSHION,0.8,VS1,J,EX,EX,EX,N,5.51-5.08×3.46,"1,986.43",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-124/
1564556,CUSHION,0.72,SI1,F,EX,EX,VG,N,5.61-4.87×3.20,"1,986.78",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-14/
1631322,CUSHION,0.8,SI2,I,EX,VG,VG,N,5.28-5.15×3.48,"1,990.56",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-110/
1632736,CUSHION,0.72,SI2,E,EX,VG,VG,F,5.28-4.81×3.26,"1,991.65",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-9/
1632738,CUSHION,0.75,SI2,G,EX,EX,VG,N,5.26-4.96×3.37,"1,992.81",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-18/
1646009,CUSHION,0.59,VS2,E,EX,EX,VG,F,4.72-4.66×3.15,"1,994.45",https://capitalwholesalediamonds.com/product/0-59-ct-cushion-4/
203173-1479,CUSHION,0.96,SI2,FANCY,EX,EX,VG,F,5.63-5.25×3.56,"1,995.68",https://capitalwholesalediamonds.com/product/0-96-ct-cushion-3/
200787-473,CUSHION,1.0,SI2,J,EX,VG,VG,N,5.77-5.60×3.78,"2,006.70",https://capitalwholesalediamonds.com/product/1-ct-cushion-91/
1626223,CUSHION,0.81,VS2,J,EX,EX,EX,M,5.41-5.18×3.45,"2,008.35",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-42/
1646005,CUSHION,0.7,SI2,G,EX,EX,VG,N,5.27-4.79×3.25,"2,012.64",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-44/
1652699,CUSHION,0.52,VVS2,E,EX,EX,VG,N,4.96-4.31×2.92,"2,014.58",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-5/
1622482,CUSHION,0.76,VVS2,J,VG,EX,VG,N,5.06-4.99×3.49,"2,014.73",https://capitalwholesalediamonds.com/product/0-76-ct-cushion-4/
202157-1046,CUSHION,1.04,VS2,K,EX,EX,EX,F,6.42-5.35×3.59,"2,016.71",https://capitalwholesalediamonds.com/product/1-04-ct-cushion/
1606798,CUSHION,0.72,SI1,D,EX,EX,VG,ST,5.33-4.84×3.27,"2,018.99",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-33/
1626231,CUSHION,0.71,VVS2,I,VG,EX,VG,N,5.17-4.77×3.34,"2,020.42",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-12/
1648830,CUSHION,0.71,SI1,H,EX,EX,VG,N,5.35-4.89×3.30,"2,021.49",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-10/
1615067,CUSHION,0.71,VS2,I,EX,EX,VG,N,5.25-4.84×3.27,"2,026.56",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-13/
1642230,CUSHION,0.93,SI1,K,EX,EX,EX,N,6.01-5.18×3.50,"2,027.74",https://capitalwholesalediamonds.com/product/0-93-ct-cushion-4/
1634071,CUSHION,0.82,VVS2,J,EX,EX,VG,N,5.57-5.07×3.43,"2,030.12",https://capitalwholesalediamonds.com/product/0-82-ct-cushion-11/
1594979,CUSHION,0.8,VS2,J,EX,EX,VG,N,5.51-5.02×3.41,"2,030.73",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-140/
1632735,CUSHION,0.7,SI2,D,EX,EX,VG,N,5.58-4.85×3.23,"2,032.09",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-78/
1612572,CUSHION,0.8,VVS2,J,EX,EX,VG,N,5.49-5.04×3.41,"2,038.84",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-122/
1650991,CUSHION,0.81,VVS2,J,EX,EX,EX,M,5.49-5.04×3.42,"2,040.50",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-39/
1606782,CUSHION,0.81,SI2,I,EX,EX,EX,N,5.43-5.14×3.46,"2,043.47",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-38/
211020-413,CUSHION,1.0,SI2,K,EX,EX,VG,M,5.81-5.59×3.64,"2,049.90",https://capitalwholesalediamonds.com/product/1-ct-cushion-99/
1648834,CUSHION,0.7,SI2,E,VG,EX,VG,N,4.99-4.83×3.37,"2,053.78",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-26/
200771-265,CUSHION,1.01,SI2,L,EX,EX,EX,M,5.96-5.42×3.68,"2,053.79",https://capitalwholesalediamonds.com/product/1-01-ct-cushion-101/
1626245,CUSHION,0.73,SI1,H,EX,EX,VG,N,5.36-4.88×3.32,"2,058.82",https://capitalwholesalediamonds.com/product/0-73-ct-cushion-6/
1668180,CUSHION,0.83,VS2,K,EX,EX,VG,F,5.29-5.25×3.55,"2,067.92",https://capitalwholesalediamonds.com/product/0-83-ct-cushion-11/
1642237,CUSHION,0.8,VS2,J,VG,EX,GD,N,5.20-5.19×3.50,"2,076.37",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-133/
1631311,CUSHION,0.8,VVS2,J,VG,VG,VG,N,5.14-5.00×3.50,"2,079.00",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-119/
210041-562,CUSHION,1.2,SI2,N,EX,EX,EX,M,6.07-5.84×3.93,"2,080.30",https://capitalwholesalediamonds.com/product/1-2-ct-cushion-102/
1609757,CUSHION,0.92,VVS1,L,EX,EX,EX,N,5.77-5.24×3.54,"2,089.31",https://capitalwholesalediamonds.com/product/0-92-ct-cushion-6/
1636046,CUSHION,0.7,VVS2,I,EX,EX,EX,N,5.49-4.71×3.19,"2,090.03",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-55/
1664752,CUSHION,0.75,VVS1,FANCY,EX,EX,VG,M,5.58-4.84×3.27,"2,091.23",https://capitalwholesalediamonds.com/product/0-75-ct-cushion/
1593533,CUSHION,0.7,SI1,F,EX,VG,VG,N,5.22-4.78×3.24,"2,094.68",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-36/
1584401,CUSHION,0.72,SI1,H,EX,EX,VG,N,5.13-4.95×3.36,"2,094.93",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-20/
1645987,CUSHION,0.8,VS2,J,VG,EX,VG,F,5.34-5.05×3.53,"2,095.55",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-129/
1654408,CUSHION,0.7,SI2,FANCY,EX,EX,GD,F,5.08-4.86×3.25,"2,095.89",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-7/
1626227,CUSHION,0.81,SI1,I,EX,EX,VG,F,5.54-5.08×3.45,"2,099.21",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-36/
201204-106,CUSHION,1.11,VVS2,S-T,EX,EX,EX,ST,6.03-5.70×3.83,"2,107.75",https://capitalwholesalediamonds.com/product/1-11-ct-cushion-2/
1615061,CUSHION,0.81,SI2,D,EX,EX,VG,N,5.73-4.98×3.38,"2,111.99",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-62/
1642242,CUSHION,0.8,SI2,F,VG,EX,VG,M,5.51-5.14×3.45,"2,116.52",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-45/
1638131,CUSHION,0.7,SI2,D,EX,EX,VG,N,5.23-4.93×3.31,"2,117.68",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-83/
1631323,CUSHION,0.75,VVS2,I,EX,EX,VG,F,5.10-5.10×3.42,"2,118.77",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-20/
1534911,CUSHION,0.8,VS2,I,EX,EX,VG,F,5.67-4.93×3.35,"2,119.15",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-93/
1609780,CUSHION,0.8,VS2,I,VG,EX,VG,N,5.60-4.95×3.47,"2,119.15",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-96/
1628223,CUSHION,0.9,SI1,K,EX,EX,VG,N,5.62-5.24×3.55,"2,119.75",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-98/
1628248,CUSHION,0.71,VS2,H,VG,EX,VG,N,5.24-4.72×3.30,"2,123.35",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-9/
1639553,CUSHION,0.72,SI1,F,EX,EX,VG,N,5.80-4.71×3.18,"2,123.49",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-13/
1587771,CUSHION,0.7,SI1,E,EX,EX,VG,N,5.70-4.66×3.16,"2,125.23",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-11/
1619458,CUSHION,0.8,VVS2,J,EX,EX,VG,N,5.20-5.14×3.49,"2,126.15",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-118/
200758-47,CUSHION,1.0,SI1,K,EX,EX,EX,ST,5.57-5.57×3.77,"2,126.49",https://capitalwholesalediamonds.com/product/1-ct-cushion-97/
1654059,CUSHION,0.72,SI1,E,EX,EX,VG,ST,5.54-4.80×3.21,"2,127.22",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-7/
1646003,CUSHION,0.7,SI2,E,EX,EX,VG,N,5.25-4.77×3.24,"2,131.11",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-28/
1639546,CUSHION,0.8,SI1,I,VG,EX,GD,N,5.09-5.08×3.56,"2,131.51",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-106/
1628262,CUSHION,0.7,SI2,D,EX,EX,VG,N,5.11-4.94×3.36,"2,133.55",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-84/
1631305,CUSHION,0.9,SI1,K,VG,EX,VG,N,5.66-5.21×3.64,"2,133.76",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-99/
1632713,CUSHION,0.9,SI2,I,VG,EX,VG,N,5.42-5.23×3.66,"2,133.85",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-76/
1632714,CUSHION,0.8,VVS1,J,VG,EX,VG,N,5.16-5.13×3.59,"2,135.66",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-116/
1601102,CUSHION,0.82,VS2,J,EX,EX,VG,N,5.49-5.12×3.48,"2,145.22",https://capitalwholesalediamonds.com/product/0-82-ct-cushion-12/
1604247,CUSHION,0.82,SI2,FANCY,EX,EX,VG,F,5.54-4.97×3.36,"2,147.80",https://capitalwholesalediamonds.com/product/0-82-ct-cushion-2/
203227-107,CUSHION,1.01,SI1,K,EX,EX,EX,ST,5.64-5.56×3.78,"2,147.83",https://capitalwholesalediamonds.com/product/1-01-ct-cushion-98/
211007-620,CUSHION,1.0,VS1,N,EX,EX,EX,ST,6.26-5.43×3.70,"2,147.95",https://capitalwholesalediamonds.com/product/1-ct-cushion-25/
211007-531,CUSHION,1.0,VS1,N,EX,EX,VG,M,5.87-5.59×3.74,"2,147.95",https://capitalwholesalediamonds.com/product/1-ct-cushion-117/
1665792,CUSHION,0.7,SI2,D,EX,VG,VG,N,5.19-4.93×3.28,"2,148.28",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-79/
1651002,CUSHION,0.81,VS2,J,EX,EX,VG,N,5.42-5.09×3.45,"2,149.77",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-43/
200683-54,CUSHION,1.07,VVS2,W-X,EX,EX,EX,N,5.83-5.45×3.69,"2,155.85",https://capitalwholesalediamonds.com/product/1-07-ct-cushion-3/
1602041,CUSHION,0.8,VS2,J,EX,EX,EX,N,5.86-4.96×3.36,"2,157.93",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-139/
1602024,CUSHION,0.91,VVS2,K,EX,EX,EX,N,5.40-5.39×3.65,"2,158.66",https://capitalwholesalediamonds.com/product/0-91-ct-cushion-17/
211020-294,CUSHION,1.21,SI2,K,EX,EX,EX,N,6.35-6.05×4.11,"2,159.07",https://capitalwholesalediamonds.com/product/1-21-ct-cushion-3/
1634085,CUSHION,0.51,VVS2,D,EX,EX,VG,N,4.72-4.33×2.93,"2,159.88",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-44/
1628253,CUSHION,0.7,SI1,E,EX,EX,VG,N,5.75-4.63×3.14,"2,161.39",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-12/
1628263,CUSHION,0.71,SI2,E,EX,VG,VG,N,5.37-4.93×3.33,"2,163.98",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-7/
1626224,CUSHION,0.8,VS2,J,EX,EX,VG,N,5.41-5.10×3.47,"2,166.14",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-134/
1628232,CUSHION,0.8,VS2,J,EX,EX,VG,F,5.22-5.10×3.46,"2,166.14",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-136/
1646000,CUSHION,0.71,SI1,I,EX,EX,VG,N,5.16-5.02×3.40,"2,167.54",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-14/
